"序97 ","A00138","來","来","來","一簡對一","G1-00707","來","来","無異體",,,,
"序114 ","A00221","傑","杰","佔格","一簡對多","G1-01031","無繁體","杰","傑",,,,
"序452 ","A00846","夢","梦","夢","一簡對一","G1-02221","夢","梦","無異體",,,,
"序313 ","A01410","慄","栗","佔格","一簡對多","G1-01855","無繁體","栗","慄",,,,
"序685 ","A01636","搾","榨","佔格","一簡對多","G1-03082","無繁體","榨","搾",,,,
"序16 ","A01853","木","木","佔格","一簡對一","G1-00087","無繁體","木","無異體",,,,
"序27 ","A01854","朮","术","佔格","一簡對一","G1-00211","术","术","無異體","G1-00211","术","術","無異體"
"序22 ","A01855","本","本","佔格","一簡對一","G1-00210","無繁體","本","無異體",,,,
"序18 ","A01856","未","未","佔格","一簡對一","G1-00192","無繁體","未","無異體",,,,
"序20 ","A01857","末","末","佔格","一簡對一","G1-00193","無繁體","末","無異體",,,,
"序24 ","A01858","札","札","佔格","一簡對一","G2-03532","無繁體","札","剳劄",,,,
"序47 ","A01859","朽","朽","佔格","一簡對一","G1-00375","無繁體","朽","無異體",,,,
"序34 ","A01860","朴","朴","佔格","一簡對多","G1-00376","朴","朴","無異體","G1-00376","朴","樸","無異體"
"序30 ","A01861","朱","朱","佔格","一簡對多","G1-00445","朱","朱","無異體","G1-00445","朱","硃","無異體"
"序37 ","A01862","朵","朵","佔格","一簡對一","G1-00497","無繁體","朵","朶",,,,
"序90 ","A01863","束","束","佔格","一簡對一","G1-00694","無繁體","束","無異體",,,,
"序68 ","A01864","李","李","佔格","一簡對一","G1-00688","無繁體","李","無異體",,,,
"序70 ","A01865","杏","杏","佔格","一簡對一","G1-00684","無繁體","杏","無異體",,,,
"序72 ","A01866","材","材","佔格","一簡對一","G1-00681","無繁體","材","無異體",,,,
"序74 ","A01867","村","村","佔格","一簡對一","G1-00682","無繁體","村","邨",,,,
"序85 ","A01868","杜","杜","佔格","一簡對一","G1-00680","無繁體","杜","無異體",,,,
"序80 ","A01869","杖","杖","佔格","一簡對一","G1-00683","無繁體","杖","無異體",,,,
"序88 ","A01870","杞","杞","佔格","一簡對一","G2-03680","無繁體","杞","無異體",,,,
"序64 ","A01871","杉","杉","佔格","一簡對一","G1-00685","無繁體","杉","無異體",,,,
"序108 ","A01872","杭","杭","佔格","一簡對一","G1-01030","無繁體","杭","無異體",,,,
"序147 ","A01873","枋","枋","佔格","一簡對一","G2-03882","無繁體","枋","無異體",,,,
"序157 ","A01874","枕","枕","佔格","一簡對一","G1-01033","無繁體","枕","無異體",,,,
"序3 ","A01875","東","东","東","一簡對一","G1-00225","東","东","無異體",,,,
"序165 ","A01876","果","果","佔格","一簡對一","G1-01079","無繁體","果","菓",,,,
"序119 ","A01877","杳","杳","佔格","一簡對一","G2-03877","無繁體","杳","無異體",,,,
