序1 :B02017:汍:丸:汍:一對未知
序2 :B02010:汆:氽:汆:一對未知
序3 :B02028:沍:冱:沍:一對未知
序4 :A02150:沖:冲:沖:一簡對多
序5 :A02145:決:决:佔格:一簡對一
序6 :A02173:況:况:佔格:一簡對一
序7 :A02245:淨:净:佔格:一簡對一
序8 :A02236:淒:凄:佔格:一簡對多
序9 :A02292:準:准:準:一簡對多
序10 :A02215:涼:凉:佔格:一簡對一
序11 :A02258:減:减:佔格:一簡對一
序12 :A02254:湊:凑:佔格:一簡對一
序13 :B02250:滷:卤:滷:一對未知
序14 :A02377:瀰:弥:瀰:一簡對多
序15 :A02124:水:水:佔格:一簡對一:G1-00117:無繁體:水:無異體
序17 :B02007:氶:氶:無相關對應:一對未知
序18 :A02125:永:永:佔格:一簡對一:G1-00324:無繁體:永:無異體
序20 ::::::G3-06517:無繁體:氾:無異體
序21 :B02009:氿:氿:無相關對應:一對未知:G3-06515:無繁體:氿:無異體
序23 :A02127:汀:汀:佔格:一簡對一:G2-03553:無繁體:汀:無異體
序25 :A02126:汁:汁:佔格:一簡對一:G1-00308:無繁體:汁:無異體
序27 :A02129:求:求:佔格:一簡對一:G1-00690:無繁體:求:無異體
序29 :B02008:汃:汃:無相關對應:一對未知
序30 ::::::G2-03612:無繁體:汆:無異體
序31 :A00423:匯:汇:匯:一簡對多:G1-00309:匯:汇:滙:G1-00309:汇:彙:無異體
序32 :A01265:彙:汇:彙:一簡對多:G1-00309:匯:汇:滙:G1-00309:汇:彙:無異體
序34 ::::::G3-06516:無繁體:汈:無異體
序35 :A02308:漢:汉:漢:一簡對一:G1-00311:漢:汉:無異體
序37 :B02015:汊:汊:無相關對應:一對未知:G2-03628:無繁體:汊:無異體
序39 :B02020:汋:汋:無相關對應:一對未知:G3-06548:無繁體:汋:無異體
序41 :B02014:汏:汏:無相關對應:一對未知
序42 :A02135:汐:汐:佔格:一簡對一:G2-03625:無繁體:汐:無異體
序44 :B02011:汒:汒:無相關對應:一對未知
序45 :B02018:汔:汔:無相關對應:一對未知:G2-03624:無繁體:汔:無異體
序47 :A02136:汕:汕:佔格:一簡對一:G2-03623:無繁體:汕:無異體
序49 :A02131:汗:汗:佔格:一簡對一:G1-00536:無繁體:汗:無異體
序51 :B02016:汛:汛:無相關對應:一對未知:G1-00539:無繁體:汛:無異體
序53 :B02013:汜:汜:無相關對應:一對未知:G2-03627:無繁體:汜:無異體
序55 :A02130:汝:汝:佔格:一簡對一:G1-00541:無繁體:汝:無異體
序57 :A02137:汞:汞:佔格:一簡對一:G1-00628:無繁體:汞:無異體
序59 :A02133:江:江:佔格:一簡對一:G1-00538:無繁體:江:無異體
序61 :A02134:池:池:佔格:一簡對一:G1-00540:無繁體:池:無異體
序63 :A02132:汙:污:佔格:一簡對一:G1-00537:無繁體:污:汙汚
序64 :B02012:污:污:無相關對應:一對未知:G1-00537:無繁體:污:汙汚
序66 :A02266:湯:汤:湯:一簡對一:G1-00542:湯:汤:無異體
序68 ::::::G3-06547:澫:𬇕:無異體
序69 :B02041:汦:汦:無相關對應:一對未知
序70 :B02025:汧:汧:無相關對應:一對未知:G3-06610:無繁體:汧:無異體
序72 :A02149:汨:汨:佔格:一簡對一:G2-03774:無繁體:汨:無異體
序74 :B02035:汩:汩:無相關對應:一對未知:G2-03773:無繁體:汩:無異體
序76 :A02144:汪:汪:佔格:一簡對一:G1-00855:無繁體:汪:無異體
序78 :B02026:汫:汫:無相關對應:一對未知:G3-06611:無繁體:汫:無異體
序80 :B02037:汭:汭:無相關對應:一對未知:G3-06617:無繁體:汭:無異體
序82 :B02034:汯:汯:無相關對應:一對未知
序83 :A02147:汰:汰:佔格:一簡對一:G1-00858:無繁體:汰:無異體
序85 :B02033:汱:汱:無相關對應:一對未知
序86 :A02154:汲:汲:佔格:一簡對一:G2-03626:無繁體:汲:無異體
序88 :B02043:汳:汳:無相關對應:一對未知
序89 :B02021:汴:汴:無相關對應:一對未知:G2-03778:無繁體:汴:無異體
序91 :B02024:汶:汶:無相關對應:一對未知:G2-03779:無繁體:汶:無異體
序93 :B02023:汸:汸:無相關對應:一對未知
序94 :A02197:洶:汹:佔格:一簡對一:G1-00864:無繁體:汹:洶
序96 :A02152:汽:汽:佔格:一簡對一:G1-00861:無繁體:汽:無異體
序98 :A02155:汾:汾:佔格:一簡對一:G2-03776:無繁體:汾:無異體
序100 :A02139:沁:沁:佔格:一簡對一:G1-00872:無繁體:沁:無異體
序102 :B02042:沂:沂:無相關對應:一對未知:G2-03775:無繁體:沂:無異體
序104 :A02153:沃:沃:佔格:一簡對一:G1-00862:無繁體:沃:無異體
序106 :B02027:沄:沄:無相關對應:一對未知:G3-06614:澐:沄:無異體
