序1 :A02383:火:火:佔格:一簡對一:G1-00164:無繁體:火:無異體
序2 :A02384:灰:灰:佔格:一簡對一:G1-00397:無繁體:灰:無異體
序3 :A02385:灶:灶:佔格:一簡對一:G1-00851:竈:灶:無異體
序4 :A02388:灸:灸:佔格:一簡對一:G1-00819:無繁體:灸:無異體
序5 :A02386:灼:灼:佔格:一簡對一:G1-00853:無繁體:灼:無異體
序6 :A02387:災:灾:佔格:一簡對一:G1-00883:無繁體:灾:災烖菑
序7 :B02374:炅:炅:無相關對應:一對未知:G2-03907:無繁體:炅:無異體
序8 :A02392:炊:炊:佔格:一簡對一:G1-01235:無繁體:炊:無異體
序9 :A02390:炎:炎:佔格:一簡對一:G1-01237:無繁體:炎:無異體
序10 :A02391:炒:炒:佔格:一簡對一:G1-01234:無繁體:炒:無異體
序11 :B02372:炔:炔:無相關對應:一對未知:G2-04008:無繁體:炔:無異體
序12 :A02389:炕:炕:佔格:一簡對一:G1-01236:無繁體:炕:匟
序13 :B02373:炘:炘:無相關對應:一對未知:G2-04006:無繁體:炘:無異體
序14 :A02393:炙:炙:佔格:一簡對一:G2-03990:無繁體:炙:無異體
序15 :B02377:炟:炟:無相關對應:一對未知:G3-06878:無繁體:炟:無異體
序16 :B02376:炤:照:炤:一對未知:G1-02911:無繁體:照:炤
序17 :A02394:炫:炫:佔格:一簡對一:G1-01659:無繁體:炫:無異體
序18 :A02397:炬:炬:佔格:一簡對一:G1-01233:無繁體:炬:無異體
序19 :A02399:炭:炭:佔格:一簡對一:G1-01517:無繁體:炭:無異體
序20 :A02401:炮:炮:佔格:一簡對一:G1-01658:無繁體:炮:砲礮
序21 :A02398:炯:炯:佔格:一簡對一:G2-04327:無繁體:炯:烱
序22 :B02380:炰:砲:炰:一對未知
序23 :B02379:炱:炱:無相關對應:一對未知:G2-04391:無繁體:炱:無異體
序24 :A02396:炳:炳:佔格:一簡對一:G2-04324:無繁體:炳:無異體
序25 :B02375:炷:炷:無相關對應:一對未知:G2-04329:無繁體:炷:無異體
序26 :A02400:炸:炸:佔格:一簡對一:G1-01656:無繁體:炸:無異體
序27 :A02395:為:为:爲:一簡對一
序28 :B02378:炾:炾:無相關對應:一對未知
序29 :A02406:烈:烈:佔格:一簡對一:G1-01871:無繁體:烈:無異體
序30 :A02402:烊:烊:佔格:一簡對一:G2-04640:無繁體:烊:無異體
序31 :B02385:烋:烋:無相關對應:一對未知
序32 :A02407:烏:乌:烏:一簡對一
序33 :B02383:烑:烑:無相關對應:一對未知
序34 :B02382:烓:烓:無相關對應:一對未知
序35 :A02403:烘:烘:佔格:一簡對一:G1-02058:無繁體:烘:無異體
序36 :A02405:烙:烙:佔格:一簡對一:G1-02063:無繁體:烙:無異體
序37 :B02381:烜:烜:無相關對應:一對未知:G2-04637:無繁體:烜:無異體
序38 :B02384:烝:烝:無相關對應:一對未知:G3-07086:無繁體:烝:無異體
序39 :A02404:烤:烤:佔格:一簡對一:G1-02057:無繁體:烤:無異體
序40 :B02393:烯:烯:無相關對應:一對未知:G2-04957:無繁體:烯:無異體
序41 :B02394:烰:烰:無相關對應:一對未知
序42 :B02391:烴:烃:烴:一對未知:G2-04330:烴:烃:無異體
序43 :B02389:烷:烷:無相關對應:一對未知:G2-04961:無繁體:烷:無異體
序44 :A02408:烹:烹:佔格:一簡對一:G1-02377:無繁體:烹:無異體
序45 :B02387:烺:烺:無相關對應:一對未知:G3-07231:無繁體:烺:無異體
序46 :B02400:烻:烻:無相關對應:一對未知:G3-07052:無繁體:烻:無異體
序47 :A02411:烽:烽:佔格:一簡對一:G2-04959:無繁體:烽:無異體
序48 :B02395:焄:焄:無相關對應:一對未知
序49 :A02409:焉:焉:佔格:一簡對一:G1-02169:無繁體:焉:無異體
序50 :A02410:焊:焊:佔格:一簡對一:G1-02408:無繁體:焊:釬銲
序51 :B02392:焌:焌:無相關對應:一對未知:G3-07232:無繁體:焌:無異體
序52 :B02388:焍:焍:無相關對應:一對未知
序53 :B02390:焗:焗:無相關對應:一對未知:G2-04962:無繁體:焗:無異體
序54 :A02412:焙:焙:佔格:一簡對一:G2-05274:無繁體:焙:無異體
序55 :A02413:焚:焚:佔格:一簡對一:G1-02568:無繁體:焚:無異體
序56 :B02399:焜:焜:無相關對應:一對未知:G2-05273:無繁體:焜:無異體
序57 :B02397:焞:焞:無相關對應:一對未知:G3-07422:無繁體:焞:無異體
序58 :B02396:焠:焠:無相關對應:一對未知
序59 :A02416:無:无:無:一簡對一
序60 :B02403:焣:焣:無相關對應:一對未知
序61 :A02414:焦:焦:佔格:一簡對一:G1-02695:無繁體:焦:無異體
序62 :B02401:焮:焮:無相關對應:一對未知
序63 :B02398:焯:焯:無相關對應:一對未知:G2-05272:無繁體:焯:無異體
序64 :A02415:焰:焰:佔格:一簡對多:G1-02748:無繁體:焰:燄
序65 :B02402:焱:焱:無相關對應:一對未知:G2-05275:無繁體:焱:無異體
序66 :A02417:然:然:佔格:一簡對一:G1-02723:無繁體:然:無異體
序67 :A02418:煮:煮:佔格:一簡對一:G1-02529:無繁體:煮:煑
序68 :B02410:煁:煁:無相關對應:一對未知:G3-07581:無繁體:煁:無異體
序69 :B02407:煆:煆:無相關對應:一對未知
序70 :B02404:煇:煇:無相關對應:一對未知
序71 :A02423:煉:炼:煉:一簡對多:G1-01655:煉:炼:鍊
序72 :A02428:煌:煌:佔格:一簡對一:G1-03004:無繁體:煌:無異體
序73 :A02419:煎:煎:佔格:一簡對一:G1-03000:無繁體:煎:無異體
序74 :B02406:煒:炜:煒:一對未知:G2-04003:煒:炜:無異體
序75 :B02405:煔:煔:無相關對應:一對未知
序76 :B02413:煖:暖:煖:一對未知
序77 :A02420:煙:烟:佔格:一簡對多:G1-02062:無繁體:烟:菸煙
序78 :A02425:煜:煜:佔格:一簡對一:G2-05560:無繁體:煜:無異體
序79 :B02411:煝:煝:無相關對應:一對未知
