序1 :B03223:箇:个:箇:一對未知
序2 :A03055:籲:吁:籲:一簡對多
序3 :A03041:簾:帘:簾:一簡對多
序4 :B03251:篲:彗:篲:一對未知
序5 :B03233:箠:棰:箠:一對未知
序6 :A03045:簷:檐:佔格:一簡對一
序7 :A02984:竹:竹:佔格:一簡對一:G1-00450:無繁體:竹:無異體
序9 :A02985:竺:竺:佔格:一簡對一:G2-03948:無繁體:竺:無異體
序11 :A02987:竽:竽:佔格:一簡對一:G2-04253:無繁體:竽:無異體
序13 :A02986:竿:竿:佔格:一簡對一:G1-01554:無繁體:竿:無異體
序15 :A03027:篤:笃:篤:一簡對一:G2-04255:篤:笃:無異體
序17 :B03171:笅:笅:無相關對應:一對未知
序18 :A02988:笆:笆:佔格:一簡對一:G2-04560:無繁體:笆:無異體
序20 :B03173:笈:笈:無相關對應:一對未知:G2-04254:無繁體:笈:無異體
序22 :B03174:笊:笊:無相關對應:一對未知:G2-04558:無繁體:笊:無異體
序24 :A03003:筍:笋:佔格:一簡對一:G1-01953:無繁體:笋:筍
序26 :B03172:笏:笏:無相關對應:一對未知:G2-04559:無繁體:笏:無異體
序28 :B03168:笐:笐:無相關對應:一對未知
序29 :A02989:笑:笑:佔格:一簡對一:G1-01952:無繁體:笑:咲
序31 :B03170:笓:笓:無相關對應:一對未知
序32 :A02999:筆:笔:筆:一簡對一:G1-01951:筆:笔:無異體
序34 :B03206:筧:笕:筧:一對未知:G2-04557:筧:笕:無異體
序36 :B03183:笘:笘:無相關對應:一對未知
序37 :A02995:笙:笙:佔格:一簡對一:G1-02320:無繁體:笙:無異體
序39 :A02992:笛:笛:佔格:一簡對一:G1-02319:無繁體:笛:無異體
序41 :B03185:笝:笝:無相關對應:一對未知
序42 :A02996:笞:笞:佔格:一簡對一:G2-04903:無繁體:笞:無異體
序44 :A02990:笠:笠:佔格:一簡對一:G2-04898:無繁體:笠:無異體
序46 :B03180:笢:笢:無相關對應:一對未知
序47 :B03181:笤:笤:無相關對應:一對未知:G2-04900:無繁體:笤:無異體
序49 :B03178:笥:笥:無相關對應:一對未知:G2-04899:無繁體:笥:無異體
序51 :A02994:符:符:佔格:一簡對一:G1-02321:無繁體:符:無異體
序53 :A02991:笨:笨:佔格:一簡對一:G1-02317:無繁體:笨:無異體
序55 :B03184:笪:笪:無相關對應:一對未知:G2-04896:無繁體:笪:無異體
序57 :B03188:笫:笫:無相關對應:一對未知:G3-07012:無繁體:笫:無異體
序59 :A02993:第:第:佔格:一簡對一:G1-02322:無繁體:第:無異體
序61 :B03189:笭:笭:無相關對應:一對未知
序62 :B03186:笮:笮:無相關對應:一對未知:G2-04897:無繁體:笮:無異體
序64 :B03190:笯:笯:無相關對應:一對未知:G3-07191:無繁體:笯:無異體
序66 :B03179:笰:笰:無相關對應:一對未知
序67 :B03187:笱:笱:無相關對應:一對未知:G3-07190:無繁體:笱:無異體
序69 :B03191:笲:笲:無相關對應:一對未知
序70 :B03182:笳:笳:無相關對應:一對未知:G2-04901:無繁體:笳:無異體
序72 :B03177:笴:笴:無相關對應:一對未知
序73 :B03175:笵:笵:無相關對應:一對未知
序74 ::::::G2-04895:無繁體:笸:無異體
序75 :A03011:箋:笺:箋:一簡對一:G2-04893:箋:笺:牋椾
序77 :A03050:籠:笼:籠:一簡對一:G1-02318:籠:笼:無異體
序79 :B03296:籩:笾:籩:一對未知:G2-04902:籩:笾:無異體
序81 :B03169:笄:笄:無相關對應:一對未知:G2-04556:無繁體:笄:無異體
序83 ::::::G3-07387:無繁體:筀:無異體
序84 :B03195:筄:筄:無相關對應:一對未知
序85 ::::::G3-07391:無繁體:筅:無異體
序86 :B03176:笻:筇:笻:一對未知:G2-04894:無繁體:筇:無異體
序87 :B03193:筇:筇:無相關對應:一對未知:G2-04894:無繁體:筇:無異體
序89 :B03196:筈:筈:無相關對應:一對未知
序90 :A02997:等:等:佔格:一簡對一:G1-02681:無繁體:等:無異體
序92 :B03192:筊:筊:無相關對應:一對未知
序93 :A03004:筋:筋:佔格:一簡對一:G1-02688:無繁體:筋:無異體
序94 :B04603:觔:筋:觔:一對未知:G1-02688:無繁體:筋:無異體
序96 :B03197:筌:筌:無相關對應:一對未知:G2-05207:無繁體:筌:無異體
序98 :A03005:筏:筏:佔格:一簡對一:G1-02686:無繁體:筏:栰
序100 :A03000:筐:筐:佔格:一簡對一:G1-02680:無繁體:筐:無異體
序102 :A03026:築:筑:築:一簡對一:G1-02682:筑:筑:無異體:G1-02682:筑:築:無異體
序103 :B03194:筑:筑:無相關對應:一對未知:G1-02682:筑:筑:無異體:G1-02682:筑:築:無異體
序105 :A03001:筒:筒:佔格:一簡對一:G1-02685:無繁體:筒:筩
