序1 :A03120:絲:丝:絲:一簡對一:G1-00347:絲:丝:無異體
序3 :A03164:縣:县:縣:一簡對一:G1-00720:縣:县:無異體
序5 :A03103:絃:弦:佔格:一簡對多
序6 :A03142:綵:彩:佔格:一簡對多
序7 :A03172:總:总:總:一簡對一:G1-01654:總:总:無異體
序9 :B03491:纔:才:纔:一對未知
序10 :A03105:紮:扎:佔格:一簡對多
序11 :A03126:綑:捆:佔格:一簡對多
序12 :B03460:繐:穗:繐:一對未知
序13 :A03079:糸:糸:佔格:一簡對一
序14 :A03080:系:系:佔格:一簡對多:G1-00825:系:系:無異體:G1-00825:系:係:無異體:G1-00825:系:繫:無異體
序15 :A03181:繫:系:繫:一簡對多:G1-00825:系:系:無異體:G1-00825:系:係:無異體:G1-00825:系:繫:無異體
序16 :A00165:係:系:係:一簡對多:G1-00825:系:系:無異體:G1-00825:系:係:無異體:G1-00825:系:繫:無異體
序17 :A03080:系:系:佔格:一簡對多:G1-00825:系:系:無異體:G1-00825:系:係:無異體:G1-00825:系:繫:無異體
序18 :A03181:繫:系:繫:一簡對多:G1-00825:系:系:無異體:G1-00825:系:係:無異體:G1-00825:系:繫:無異體
序20 :B03330:紃:紃:無相關對應:一對未知
序21 :A03091:紊:紊:佔格:一簡對一:G1-02036:無繁體:紊:無異體
序23 :B03335:紎:紎:無相關對應:一對未知
序24 :B03334:紑:紑:無相關對應:一對未知
序25 :B03340:紒:紒:無相關對應:一對未知
序26 :B03332:紞:紞:無相關對應:一對未知
序27 :B03339:紟:紟:無相關對應:一對未知
序28 :A03092:素:素:佔格:一簡對一:G1-01775:無繁體:素:無異體
序30 :A03093:索:索:佔格:一簡對一:G1-01851:無繁體:索:無異體
序32 :A03135:緊:紧:緊:一簡對一:G1-01884:緊:紧:𦂳𦃂
序34 :B03350:紩:紩:無相關對應:一對未知
序35 :A03118:紫:紫:佔格:一簡對一:G1-02604:無繁體:紫:無異體
序37 :B03349:紬:紬:無相關對應:一對未知
序38 :A03112:累:累:佔格:一簡對一:G1-02282:累:累:無異體:G1-02282:累:纍:無異體
序39 :B03488:纍:累:纍:一對未知:G1-02282:累:累:無異體:G1-02282:累:纍:無異體
序40 :B01889:櫐:累:櫐:一對未知:G1-02282:累:累:無異體:G1-02282:累:纍:無異體
序41 :A03112:累:累:佔格:一簡對一:G1-02282:累:累:無異體:G1-02282:累:纍:無異體
序42 :B03488:纍:累:纍:一對未知:G1-02282:累:累:無異體:G1-02282:累:纍:無異體
序44 :B03344:紶:紶:無相關對應:一對未知
序45 :B03343:紸:紸:無相關對應:一對未知
序46 :B03342:紽:紽:無相關對應:一對未知
序47 :B03353:紾:紾:無相關對應:一對未知
序48 :B03351:絁:絁:無相關對應:一對未知
序49 :B03352:絇:絇:無相關對應:一對未知
