序1 :A03583:藉:借:藉:一簡對多
序2 :A03600:蘭:兰:蘭:一簡對一
序3 :A03473:茲:兹:佔格:一簡對一
序4 :A03442:芻:刍:芻:一簡對一
序5 :B04111:薙:剃:薙:一對未知
序6 :A03503:華:华:華:一簡對一
序7 :A03557:蔔:卜:蔔:一簡對多
序8 :B04055:蔘:参:蔘:一對未知
序9 :A03525:葉:叶:葉:一簡對一
序10 :B03902:菫:堇:菫:一對未知
序11 :A03574:薑:姜:薑:一簡對多
序12 :A03535:蓆:席:佔格:一簡對多
序13 :A03488:莊:庄:莊:一簡對一
序14 :A03505:菴:庵:佔格:一簡對多
序15 :A03545:蒐:搜:佔格:一簡對多
序16 :A03497:菸:烟:佔格:一簡對多
序17 :A03541:蓋:盖:蓋:一簡對一
序18 :B03776:艸:艸:無相關對應:一對未知
序19 :A03586:藝:艺:藝:一簡對一:G1-00086:藝:艺:無異體
序21 :B03777:艼:艼:無相關對應:一對未知
序22 :B03779:艽:艽:無相關對應:一對未知:G2-03530:無繁體:艽:無異體
序24 :A03428:艾:艾:佔格:一簡對一:G1-00207:無繁體:艾:無異體
序26 ::::::G2-03531:無繁體:艿:無異體
序27 :B03778:芀:芀:無相關對應:一對未知
序28 :A03007:節:节:節:一簡對一:G1-00209:節:节:無異體
序30 :B03787:芃:芃:無相關對應:一對未知:G3-06526:無繁體:芃:無異體
序32 :B03788:芄:芄:無相關對應:一對未知:G2-03580:無繁體:芄:無異體
序34 :B03782:芅:芅:無相關對應:一對未知
序35 :A03217:羋:芈:佔格:一簡對一:G3-06588:無繁體:芈:無異體
序37 :B03786:芊:芊:無相關對應:一對未知:G2-03578:無繁體:芊:無異體
序39 :A03430:芋:芋:佔格:一簡對一:G1-00370:無繁體:芋:無異體
序41 :A03431:芍:芍:佔格:一簡對一:G2-03579:無繁體:芍:無異體
序43 :B03783:芎:芎:無相關對應:一對未知:G2-03583:無繁體:芎:無異體
序45 :B03781:芏:芏:無相關對應:一對未知:G3-06525:無繁體:芏:無異體
序47 :B03780:芐:芐:無相關對應:一對未知
序48 :B03784:芑:芑:無相關對應:一對未知:G2-03582:無繁體:芑:無異體
序50 :A03429:芒:芒:佔格:一簡對一:G1-00372:無繁體:芒:無異體
序52 :B03785:芓:芓:無相關對應:一對未知
序53 :B03789:芔:芔:無相關對應:一對未知
序54 :B04084:薌:芗:薌:一對未知:G2-03584:薌:芗:無異體
