序1 :B04334:蝟:猬:蝟
序2 :A03669:螢:萤:螢:G1-02213:螢:萤:無異體
序4 :A03614:虫:虫:佔格:G1-00423:蟲:虫:無異體
序5 :A03683:蟲:虫:蟲:G1-00423:蟲:虫:無異體
序6 :A03614:虫:虫:佔格:一簡對多:G1-00423:蟲:虫:無異體
序7 :A03683:蟲:虫:蟲:一簡對多:G1-00423:蟲:虫:無異體
序9 :B04210:虯:虬:虯:G2-03707:無繁體:虬:虯
序10 :B04210:虯:虬:虯:一對未知:G2-03707:無繁體:虬:虯
序12 :B04211:虭:虭:無相關對應
序13 :B04211:虭:虭:無相關對應:一對未知
序14 :B04212:虮:虮:無相關對應:G2-03910:蟣:虮:無異體
序15 :B04403:蟣:虮:蟣:G2-03910:蟣:虮:無異體
序16 :B04212:虮:虮:無相關對應:一對未知:G2-03910:蟣:虮:無異體
序17 :B04403:蟣:虮:蟣:一對未知:G2-03910:蟣:虮:無異體
序19 :B04209:虰:虰:無相關對應
序20 :B04209:虰:虰:無相關對應:一對未知
序21 :A03615:虱:虱:佔格:G2-04071:無繁體:虱:蝨
序22 :A03662:蝨:虱:佔格:G2-04071:無繁體:虱:蝨
序23 :A03615:虱:虱:佔格:一簡對多:G2-04071:無繁體:虱:蝨
序24 :A03662:蝨:虱:佔格:一簡對多:G2-04071:無繁體:虱:蝨
序26 :B04216:虴:虴:無相關對應
序27 :B04216:虴:虴:無相關對應:一對未知
序28 :B04214:虷:虷:無相關對應:G3-06833:無繁體:虷:無異體
序29 :B04214:虷:虷:無相關對應:一對未知:G3-06833:無繁體:虷:無異體
序31 ::::::G3-06834:無繁體:虸:無異體
序32 :A03616:虹:虹:佔格:G1-01497:無繁體:虹:無異體
序33 :A03616:虹:虹:佔格:一簡對一:G1-01497:無繁體:虹:無異體
序35 :B04215:虺:虺:無相關對應:G2-04173:無繁體:虺:無異體
序36 :B04215:虺:虺:無相關對應:一對未知:G2-04173:無繁體:虺:無異體
序38 :B04213:虻:虻:無相關對應:G2-04212:無繁體:虻:蝱
序39 :B04213:虻:虻:無相關對應:一對未知:G2-04212:無繁體:虻:蝱
序41 ::::::G2-04211:無繁體:虼:無異體
序42 :A04461:雖:虽:雖:一簡對一:G1-01502:雖:虽:無異體
序44 :A03660:蝦:虾:蝦:G1-01498:蝦:虾:無異體
序45 :A03660:蝦:虾:蝦:一簡對一:G1-01498:蝦:虾:無異體
序47 :B04419:蠆:虿:蠆:G2-04183:蠆:虿:無異體
序48 :B04419:蠆:虿:蠆:一對未知:G2-04183:蠆:虿:無異體
序50 :A03655:蝕:蚀:蝕:G1-01612:蝕:蚀:無異體
序51 :A03655:蝕:蚀:蝕:一簡對一:G1-01612:蝕:蚀:無異體
序53 :A03684:蟻:蚁:蟻:G1-01499:蟻:蚁:無異體
序54 :A03684:蟻:蚁:蟻:一簡對一:G1-01499:蟻:蚁:無異體
序56 :A03668:螞:蚂:螞:G1-01501:螞:蚂:無異體
序57 :A03668:螞:蚂:螞:一簡對一:G1-01501:螞:蚂:無異體
序59 ::::::G3-06993:無繁體:蚄:無異體
序60 :B04229:蚅:蚅:無相關對應
序61 :B04229:蚅:蚅:無相關對應:一對未知
序62 :B04226:蚆:蚆:無相關對應:G3-06994:無繁體:蚆:無異體
序63 :B04226:蚆:蚆:無相關對應:一對未知:G3-06994:無繁體:蚆:無異體
序65 :B04224:蚇:蚇:無相關對應
序66 :B04224:蚇:蚇:無相關對應:一對未知
序67 :A03617:蚊:蚊:佔格:G1-01901:無繁體:蚊:螡蟁
序68 :A03617:蚊:蚊:佔格:一簡對一:G1-01901:無繁體:蚊:螡蟁
序70 :B04227:蚋:蚋:無相關對應:G2-04510:無繁體:蚋:無異體
序71 :B04227:蚋:蚋:無相關對應:一對未知:G2-04510:無繁體:蚋:無異體
序73 :A03622:蚌:蚌:佔格:G1-01898:無繁體:蚌:無異體
序74 :A03622:蚌:蚌:佔格:一簡對一:G1-01898:無繁體:蚌:無異體
序76 :B04220:蚍:蚍:無相關對應:G2-04509:無繁體:蚍:無異體
序77 :B04220:蚍:蚍:無相關對應:一對未知:G2-04509:無繁體:蚍:無異體
序79 :B04221:蚑:蚑:無相關對應
序80 :B04221:蚑:蚑:無相關對應:一對未知
序81 :A03619:蚓:蚓:佔格:G1-01903:無繁體:蚓:無異體
序82 :A03619:蚓:蚓:佔格:一簡對一:G1-01903:無繁體:蚓:無異體
序84 :B04234:蚕:蚕:無相關對應:G1-01777:蠶:蚕:無異體
序85 :A03695:蠶:蚕:蠶:G1-01777:蠶:蚕:無異體
序86 :B04234:蚕:蚕:無相關對應:一對未知:G1-01777:蠶:蚕:無異體
序87 :A03695:蠶:蚕:蠶:一簡對一:G1-01777:蠶:蚕:無異體
序89 :B04219:蚖:蚖:無相關對應
序90 :B04219:蚖:蚖:無相關對應:一對未知
序91 :B04225:蚗:蚗:無相關對應
序92 :B04225:蚗:蚗:無相關對應:一對未知
序93 :B04231:蚙:蚙:無相關對應
序94 :B04231:蚙:蚙:無相關對應:一對未知
序95 :B04228:蚚:蚚:無相關對應
序96 :B04228:蚚:蚚:無相關對應:一對未知
序97 :B04223:蚜:蚜:無相關對應:G2-04508:無繁體:蚜:無異體
序98 :B04223:蚜:蚜:無相關對應:一對未知:G2-04508:無繁體:蚜:無異體
序100 :A03688:蠔:蚝:佔格:G2-04512:無繁體:蚝:蠔
序101 :A03688:蠔:蚝:佔格:一簡對一:G2-04512:無繁體:蚝:蠔
序103 :B04222:蚞:蚞:無相關對應
序104 :B04222:蚞:蚞:無相關對應:一對未知
序105 :B04232:蚡:蚡:無相關對應
序106 :B04232:蚡:蚡:無相關對應:一對未知
序107 :B04217:蚢:蚢:無相關對應
序108 :B04217:蚢:蚢:無相關對應:一對未知
序109 :A03623:蚣:蚣:佔格:G1-01900:無繁體:蚣:無異體
序110 :A03623:蚣:蚣:佔格:一簡對一:G1-01900:無繁體:蚣:無異體
序112 :A03620:蚤:蚤:佔格:G1-01749:無繁體:蚤:無異體
序113 :A03620:蚤:蚤:佔格:一簡對一:G1-01749:無繁體:蚤:無異體
序115 :B04230:蚥:蚥:無相關對應
序116 :B04230:蚥:蚥:無相關對應:一對未知
序117 :B04233:蚧:蚧:無相關對應:G2-04513:無繁體:蚧:無異體
序118 :B04233:蚧:蚧:無相關對應:一對未知:G2-04513:無繁體:蚧:無異體
序120 :B04218:蚨:蚨:無相關對應:G2-04507:無繁體:蚨:無異體
序121 :B04218:蚨:蚨:無相關對應:一對未知:G2-04507:無繁體:蚨:無異體
序123 :A03621:蚩:蚩:佔格:G2-04685:無繁體:蚩:無異體
序124 :A03621:蚩:蚩:佔格:一簡對一:G2-04685:無繁體:蚩:無異體
序126 :A03618:蚪:蚪:佔格:G1-01902:無繁體:蚪:無異體
序127 :A03618:蚪:蚪:佔格:一簡對一:G1-01902:無繁體:蚪:無異體
序129 :B04275:蜆:蚬:蜆:G2-04511:蜆:蚬:無異體
序130 :B04275:蜆:蚬:蜆:一對未知:G2-04511:蜆:蚬:無異體
序132 :A03632:蚯:蚯:佔格:G1-02278:無繁體:蚯:無異體
序133 :A03632:蚯:蚯:佔格:一簡對一:G1-02278:無繁體:蚯:無異體
序135 :B04241:蚰:蚰:無相關對應:G2-04835:無繁體:蚰:無異體
序136 :B04241:蚰:蚰:無相關對應:一對未知:G2-04835:無繁體:蚰:無異體
序138 :A03631:蚱:蚱:佔格:G2-04838:無繁體:蚱:無異體
序139 :A03631:蚱:蚱:佔格:一簡對一:G2-04838:無繁體:蚱:無異體
序141 ::::::G3-07165:無繁體:蚲:無異體
序142 :B04244:蚳:蚳:無相關對應
序143 :B04244:蚳:蚳:無相關對應:一對未知
序144 :B04248:蚴:蚴:無相關對應:G2-04841:無繁體:蚴:無異體
序145 :B04248:蚴:蚴:無相關對應:一對未知:G2-04841:無繁體:蚴:無異體
序147 :A03628:蚵:蚵:佔格
序148 :A03628:蚵:蚵:佔格:一簡對一
序149 :A03626:蚶:蚶:佔格:G2-04831:無繁體:蚶:無異體
序150 :A03626:蚶:蚶:佔格:一簡對一:G2-04831:無繁體:蚶:無異體
序152 :B04236:蚷:蚷:無相關對應
序153 :B04236:蚷:蚷:無相關對應:一對未知
序154 :B04246:蚸:蚸:無相關對應
序155 :B04246:蚸:蚸:無相關對應:一對未知
序156 :B04243:蚹:蚹:無相關對應
序157 :B04243:蚹:蚹:無相關對應:一對未知
序158 :B04240:蚺:蚺:無相關對應:G3-07167:無繁體:蚺:無異體
序159 :B04240:蚺:蚺:無相關對應:一對未知:G3-07167:無繁體:蚺:無異體
序161 :B04249:蚻:蚻:無相關對應
序162 :B04249:蚻:蚻:無相關對應:一對未知
序163 :B04250:蚼:蚼:無相關對應
序164 :B04250:蚼:蚼:無相關對應:一對未知
序165 :B04235:蚿:蚿:無相關對應
序166 :B04235:蚿:蚿:無相關對應:一對未知
序167 :A03625:蛀:蛀:佔格:G1-02279:無繁體:蛀:無異體
序168 :A03625:蛀:蛀:佔格:一簡對一:G1-02279:無繁體:蛀:無異體
序170 :B04238:蛁:蛁:無相關對應
序171 :B04238:蛁:蛁:無相關對應:一對未知
序172 :B04237:蛂:蛂:無相關對應
序173 :B04237:蛂:蛂:無相關對應:一對未知
序174 ::::::G3-07164:無繁體:蛃:無異體
序175 :A03627:蛄:蛄:佔格:G2-04832:無繁體:蛄:無異體
序176 :A03627:蛄:蛄:佔格:一簡對一:G2-04832:無繁體:蛄:無異體
序178 :B04239:蛅:蛅:無相關對應
序179 :B04239:蛅:蛅:無相關對應:一對未知
序180 :A03629:蛆:蛆:佔格:G2-04834:無繁體:蛆:無異體
序181 :A03629:蛆:蛆:佔格:一簡對一:G2-04834:無繁體:蛆:無異體
序183 :A03624:蛇:蛇:佔格:G1-02280:無繁體:蛇:虵
序184 :A03624:蛇:蛇:佔格:一簡對一:G1-02280:無繁體:蛇:虵
序186 :B04242:蛈:蛈:無相關對應
序187 :B04242:蛈:蛈:無相關對應:一對未知
序188 :B04245:蛉:蛉:無相關對應:G2-04839:無繁體:蛉:無異體
序189 :B04245:蛉:蛉:無相關對應:一對未知:G2-04839:無繁體:蛉:無異體
序191 :A03694:蠱:蛊:蠱:G2-04836:蠱:蛊:無異體
序192 :A03694:蠱:蛊:蠱:一簡對一:G2-04836:蠱:蛊:無異體
序194 :A03630:蛋:蛋:佔格:G1-02477:無繁體:蛋:無異體
序195 :A03630:蛋:蛋:佔格:一簡對一:G1-02477:無繁體:蛋:無異體
序197 :B04247:蛌:蛌:無相關對應
序198 :B04247:蛌:蛌:無相關對應:一對未知
序199 :A03690:蠣:蛎:蠣:G2-04833:蠣:蛎:無異體
序200 :A03690:蠣:蛎:蠣:一簡對一:G2-04833:蠣:蛎:無異體
序202 :B04413:蟶:蛏:蟶:G2-04840:蟶:蛏:無異體
序203 :B04413:蟶:蛏:蟶:一對未知:G2-04840:蟶:蛏:無異體
序205 ::::::G3-07166:蝀:𬟽:無異體
序206 :B04259:蛐:蛐:無相關對應:G2-05146:無繁體:蛐:無異體
序207 :B04259:蛐:蛐:無相關對應:一對未知:G2-05146:無繁體:蛐:無異體
