序1 :B04334:蝟:猬:蝟:一對未知
序2 :A03669:螢:萤:螢:一簡對一:G1-02213:螢:萤:無異體
序4 :A03614:虫:虫:佔格:一簡對多:G1-00423:蟲:虫:無異體
序5 :A03683:蟲:虫:蟲:一簡對多:G1-00423:蟲:虫:無異體
序7 :B04210:虯:虬:虯:一對未知:G2-03707:無繁體:虬:虯
序9 :B04211:虭:虭:無相關對應:一對未知
序10 :B04212:虮:虮:無相關對應:一對未知:G2-03910:蟣:虮:無異體
序11 :B04403:蟣:虮:蟣:一對未知:G2-03910:蟣:虮:無異體
序13 :B04209:虰:虰:無相關對應:一對未知
序14 :A03615:虱:虱:佔格:一簡對多:G2-04071:無繁體:虱:蝨
序15 :A03662:蝨:虱:佔格:一簡對多:G2-04071:無繁體:虱:蝨
序17 :B04216:虴:虴:無相關對應:一對未知
序18 :B04214:虷:虷:無相關對應:一對未知:G3-06833:無繁體:虷:無異體
序20 ::::::G3-06834:無繁體:虸:無異體
序21 :A03616:虹:虹:佔格:一簡對一:G1-01497:無繁體:虹:無異體
序23 :B04215:虺:虺:無相關對應:一對未知:G2-04173:無繁體:虺:無異體
序25 :B04213:虻:虻:無相關對應:一對未知:G2-04212:無繁體:虻:蝱
序27 ::::::G2-04211:無繁體:虼:無異體
序28 :A04461:雖:虽:雖:一簡對一:G1-01502:雖:虽:無異體
序30 :A03660:蝦:虾:蝦:一簡對一:G1-01498:蝦:虾:無異體
序32 :B04419:蠆:虿:蠆:一對未知:G2-04183:蠆:虿:無異體
序34 :A03655:蝕:蚀:蝕:一簡對一:G1-01612:蝕:蚀:無異體
序36 :A03684:蟻:蚁:蟻:一簡對一:G1-01499:蟻:蚁:無異體
序38 :A03668:螞:蚂:螞:一簡對一:G1-01501:螞:蚂:無異體
序40 ::::::G3-06993:無繁體:蚄:無異體
序41 :B04229:蚅:蚅:無相關對應:一對未知
序42 :B04226:蚆:蚆:無相關對應:一對未知:G3-06994:無繁體:蚆:無異體
序44 :B04224:蚇:蚇:無相關對應:一對未知
序45 :A03617:蚊:蚊:佔格:一簡對一:G1-01901:無繁體:蚊:螡蟁
序47 :B04227:蚋:蚋:無相關對應:一對未知:G2-04510:無繁體:蚋:無異體
序49 :A03622:蚌:蚌:佔格:一簡對一:G1-01898:無繁體:蚌:無異體
序51 :B04220:蚍:蚍:無相關對應:一對未知:G2-04509:無繁體:蚍:無異體
序53 :B04221:蚑:蚑:無相關對應:一對未知
序54 :A03619:蚓:蚓:佔格:一簡對一:G1-01903:無繁體:蚓:無異體
序56 :A03695:蠶:蚕:蠶:一簡對一:G1-01777:蠶:蚕:無異體
序57 :B04234:蚕:蚕:無相關對應:一對未知:G1-01777:蠶:蚕:無異體
序59 :B04219:蚖:蚖:無相關對應:一對未知
序60 :B04225:蚗:蚗:無相關對應:一對未知
序61 :B04231:蚙:蚙:無相關對應:一對未知
序62 :B04228:蚚:蚚:無相關對應:一對未知
序63 :B04223:蚜:蚜:無相關對應:一對未知:G2-04508:無繁體:蚜:無異體
序65 :A03688:蠔:蚝:佔格:一簡對一:G2-04512:無繁體:蚝:蠔
序67 :B04222:蚞:蚞:無相關對應:一對未知
序68 :B04232:蚡:蚡:無相關對應:一對未知
序69 :B04217:蚢:蚢:無相關對應:一對未知
序70 :A03623:蚣:蚣:佔格:一簡對一:G1-01900:無繁體:蚣:無異體
序72 :A03620:蚤:蚤:佔格:一簡對一:G1-01749:無繁體:蚤:無異體
序74 :B04230:蚥:蚥:無相關對應:一對未知
序75 :B04233:蚧:蚧:無相關對應:一對未知:G2-04513:無繁體:蚧:無異體
序77 :B04218:蚨:蚨:無相關對應:一對未知:G2-04507:無繁體:蚨:無異體
序79 :A03621:蚩:蚩:佔格:一簡對一:G2-04685:無繁體:蚩:無異體
序81 :A03618:蚪:蚪:佔格:一簡對一:G1-01902:無繁體:蚪:無異體
序83 :B04275:蜆:蚬:蜆:一對未知:G2-04511:蜆:蚬:無異體
序85 :A03632:蚯:蚯:佔格:一簡對一:G1-02278:無繁體:蚯:無異體
序87 :B04241:蚰:蚰:無相關對應:一對未知:G2-04835:無繁體:蚰:無異體
序89 :A03631:蚱:蚱:佔格:一簡對一:G2-04838:無繁體:蚱:無異體
序91 ::::::G3-07165:無繁體:蚲:無異體
序92 :B04244:蚳:蚳:無相關對應:一對未知
序93 :B04248:蚴:蚴:無相關對應:一對未知:G2-04841:無繁體:蚴:無異體
序95 :A03628:蚵:蚵:佔格:一簡對一
序96 :A03626:蚶:蚶:佔格:一簡對一:G2-04831:無繁體:蚶:無異體
序98 :B04236:蚷:蚷:無相關對應:一對未知
序99 :B04246:蚸:蚸:無相關對應:一對未知
序100 :B04243:蚹:蚹:無相關對應:一對未知
序101 :B04240:蚺:蚺:無相關對應:一對未知:G3-07167:無繁體:蚺:無異體
序103 :B04249:蚻:蚻:無相關對應:一對未知
序104 :B04250:蚼:蚼:無相關對應:一對未知
序105 :B04235:蚿:蚿:無相關對應:一對未知
序106 :A03625:蛀:蛀:佔格:一簡對一:G1-02279:無繁體:蛀:無異體
序108 :B04238:蛁:蛁:無相關對應:一對未知
序109 :B04237:蛂:蛂:無相關對應:一對未知
序110 ::::::G3-07164:無繁體:蛃:無異體
序111 :A03627:蛄:蛄:佔格:一簡對一:G2-04832:無繁體:蛄:無異體
序113 :B04239:蛅:蛅:無相關對應:一對未知
序114 :A03629:蛆:蛆:佔格:一簡對一:G2-04834:無繁體:蛆:無異體
序116 :A03624:蛇:蛇:佔格:一簡對一:G1-02280:無繁體:蛇:虵
序118 :B04242:蛈:蛈:無相關對應:一對未知
序119 :B04245:蛉:蛉:無相關對應:一對未知:G2-04839:無繁體:蛉:無異體
序121 :A03694:蠱:蛊:蠱:一簡對一:G2-04836:蠱:蛊:無異體
序123 :A03630:蛋:蛋:佔格:一簡對一:G1-02477:無繁體:蛋:無異體
序125 :B04247:蛌:蛌:無相關對應:一對未知
序126 :A03690:蠣:蛎:蠣:一簡對一:G2-04833:蠣:蛎:無異體
序128 :B04413:蟶:蛏:蟶:一對未知:G2-04840:蟶:蛏:無異體
序130 ::::::G3-07166:蝀:𬟽:無異體
序131 :B04259:蛐:蛐:無相關對應:一對未知:G2-05146:無繁體:蛐:無異體
序133 ::::::G3-07355:無繁體:蛑:無異體
序134 :B04254:蛓:蛓:無相關對應:一對未知
序135 :A03636:蛔:蛔:佔格:一簡對一:G2-05147:無繁體:蛔:蚘痐蛕蜖
序137 :B04265:蛗:蛗:無相關對應:一對未知
序138 :B04251:蛘:蛘:無相關對應:一對未知:G2-05151:無繁體:蛘:無異體
序140 :A03634:蛙:蛙:佔格:一簡對一:G1-02634:無繁體:蛙:鼃
序142 :B04256:蛚:蛚:無相關對應:一對未知
序143 :A03637:蛛:蛛:佔格:一簡對一:G1-02635:無繁體:蛛:無異體
序145 :B04262:蛜:蛜:無相關對應:一對未知
序146 :B04258:蛝:蛝:無相關對應:一對未知
序147 :B04260:蛞:蛞:無相關對應:一對未知:G2-05148:無繁體:蛞:無異體
序149 :A03633:蛟:蛟:佔格:一簡對一:G2-05150:無繁體:蛟:無異體
序151 :B04252:蛢:蛢:無相關對應:一對未知
序152 :B04255:蛣:蛣:無相關對應:一對未知
序153 :A03638:蛤:蛤:佔格:一簡對一:G1-02638:無繁體:蛤:無異體
序155 :B04253:蛦:蛦:無相關對應:一對未知
序156 :B04264:蛩:蛩:無相關對應:一對未知:G2-05072:無繁體:蛩:無異體
序158 :B04257:蛪:蛪:無相關對應:一對未知
序159 :B04261:蛫:蛫:無相關對應:一對未知
