序1 :A03751:褻:亵:褻:一簡對一
序2 :B03037:祂:他:祂:一對未知
序3 :A03709:初:初:佔格:一簡對一:G1-00889:無繁體:初:無異體
序5 :A03740:製:制:製:一簡對多
序6 :A03744:複:复:複:一簡對多
序7 :A02903:禦:御:禦:一簡對多
序8 :A02877:示:示:佔格:一簡對一:G1-00194:無繁體:示:無異體
序10 :A02906:禮:礼:禮:一簡對一:G1-00318:禮:礼:無異體
序12 :B03036:礽:礽:無相關對應:一對未知
序13 :A02878:社:社:佔格:一簡對一:G1-00890:無繁體:社:無異體
序15 :B03038:礿:礿:無相關對應:一對未知
序16 :A02879:祀:祀:佔格:一簡對一:G1-00891:無繁體:祀:禩
序18 :A02880:祁:祁:佔格:一簡對一:G2-03633:無繁體:祁:無異體
序20 :B03071:禡:祃:禡:一對未知:G3-06624:禡:祃:無異體
序22 :B03042:祅:祆:祅:一對未知:G2-04047:無繁體:祆:無異體
序23 :A02881:祆:祆:佔格:一簡對一:G2-04047:無繁體:祆:無異體
序24 :B03042:祅:祆:祅:一對未知:G2-04047:無繁體:祆:無異體
序25 :A02881:祆:祆:佔格:一簡對一:G2-04047:無繁體:祆:無異體
序27 :A02884:祇:祇:佔格:一簡對一:G2-04050:無繁體:祇:無異體
序29 :A02883:祈:祈:佔格:一簡對一:G1-01295:無繁體:祈:無異體
序31 :A02882:祉:祉:佔格:一簡對一:G2-04049:無繁體:祉:無異體
序33 :B03039:祊:祊:無相關對應:一對未知:G3-06729:無繁體:祊:無異體
序35 :B03041:祋:祋:無相關對應:一對未知:G3-06728:無繁體:祋:無異體
序37 :B03040:祌:祌:無相關對應:一對未知
序38 :B03066:禕:祎:禕:一對未知:G2-04048:禕:祎:無異體
序40 :A03769:視:视:視:一簡對一:G1-01294:視:视:眎眡
序42 :B03045:祏:祏:無相關對應:一對未知:G3-06904:無繁體:祏:無異體
序44 :A02886:祐:祐:佔格:一簡對一:G3-06905:無繁體:祐:無異體
序46 :B03049:祑:祑:無相關對應:一對未知
序47 :B03048:祒:祒:無相關對應:一對未知
序48 :B03047:祓:祓:無相關對應:一對未知:G2-04366:無繁體:祓:無異體
序50 :B03043:祔:祔:無相關對應:一對未知
序51 :A02885:祕:祕:佔格:一簡對一:G3-06906:無繁體:祕:無異體
序53 :A02889:祖:祖:佔格:一簡對一:G1-01710:無繁體:祖:無異體
序55 :A02892:祗:祗:佔格:一簡對一:G2-04369:無繁體:祗:無異體
序57 :A02893:祚:祚:佔格:一簡對一:G2-04367:無繁體:祚:無異體
序59 :B03044:祛:祛:無相關對應:一對未知:G2-04364:無繁體:祛:無異體
序60 :B04482:袪:祛:袪:一對未知:G2-04364:無繁體:祛:無異體
序62 :B03046:祜:祜:無相關對應:一對未知:G2-04365:無繁體:祜:無異體
序64 :A02891:祝:祝:佔格:一簡對一:G1-01712:無繁體:祝:無異體
序66 :A02890:神:神:佔格:一簡對一:G1-01711:無繁體:神:無異體
序68 :A02888:祟:祟:佔格:一簡對一:G1-02136:無繁體:祟:無異體
