序1 :A04368:鑿:凿:鑿:一簡對一:G1-02605:鑿:凿:無異體
序3 :A04284:鉋:刨:佔格:一簡對多
序4 :A04314:錄:录:録:一簡對一:G1-01304:録:录:無異體
序6 :B05308:鉞:戉:鉞:一對未知
序7 :B05429:鏚:戚:鏚:一對未知
序8 :A04267:釦:扣:佔格:一簡對多
序9 :B05424:鎗:枪:鎗:一對未知
序10 :B05467:鑪:炉:鑪:一對未知
序11 :A04322:鍊:炼:佔格:一簡對多
序12 :B05357:銲:焊:銲:一對未知
序13 ::::::G2-05390:鎣:蓥:無異體
序14 :A04296:銜:衔:銜:一簡對多:G1-02342:銜:衔:啣衘
序16 :A04307:錶:表:錶:一簡對多:G1-00951:表:表:無異體:G1-00951:表:錶:無異體
序18 :A04261:金:金:佔格:一簡對一:G1-01166:無繁體:金:無異體
序20 :A04265:釜:釜:佔格:一簡對一:G2-04586:無繁體:釜:無異體
序22 :B05273:釢:釢:無相關對應:一對未知
序23 :B05275:釭:釭:無相關對應:一對未知
序24 :B05277:釱:釱:無相關對應:一對未知
序25 :B05278:釳:釳:無相關對應:一對未知
序26 :B05276:釴:釴:無相關對應:一對未知
序27 :B05280:釸:釸:無相關對應:一對未知
序28 :B05296:釽:釽:無相關對應:一對未知
序29 :B05294:釿:釿:無相關對應:一對未知
序30 :B05297:鈆:鈆:無相關對應:一對未知
序31 :B05286:鈇:鈇:無相關對應:一對未知
序32 :B05284:鈊:鈊:無相關對應:一對未知
序33 :B05291:鈌:鈌:無相關對應:一對未知
序34 :B05290:鈏:鈏:無相關對應:一對未知
序35 :B05288:鈚:鈚:無相關對應:一對未知
序36 :B05322:鈶:鈶:無相關對應:一對未知
序37 :B05311:鉊:鉊:無相關對應:一對未知
序38 :B05316:鉏:鉏:無相關對應:一對未知
序39 :B05299:鉒:鉒:無相關對應:一對未知
序40 :B05318:鉠:鉠:無相關對應:一對未知
序41 :B05307:鉥:鉥:無相關對應:一對未知
序42 :B05319:鉧:鉧:無相關對應:一對未知
序43 :B05320:鉯:鉯:無相關對應:一對未知
序44 :A04359:鑑:鉴:佔格:一簡對多:G1-02894:鑒:鉴:鍳鑑
序45 :A04360:鑒:鉴:鑒:一簡對多:G1-02894:鑒:鉴:鍳鑑
序47 :B05338:鉹:鉹:無相關對應:一對未知
序48 :B05343:銎:銎:無相關對應:一對未知:G3-07634:無繁體:銎:無異體
序50 :B05331:銔:銔:無相關對應:一對未知
序51 :B05339:銗:銗:無相關對應:一對未知
序52 :B05326:銤:銤:無相關對應:一對未知
序53 :A04366:鑾:銮:鑾:一簡對一:G2-05778:鑾:銮:無異體
序55 :B05349:銶:銶:無相關對應:一對未知
序56 :B05347:鋀:鋀:無相關對應:一對未知
序57 :B05362:鋂:鋂:無相關對應:一對未知
序58 :B05346:鋄:鋄:無相關對應:一對未知
序59 ::::::G2-05865:無繁體:鋆:無異體
序60 :B05365:鋈:鋈:無相關對應:一對未知:G2-06002:無繁體:鋈:無異體
序62 :B05364:鋊:鋊:無相關對應:一對未知
序63 :B05386:鋋:鋋:無相關對應:一對未知
序64 :B05344:鋐:鋐:無相關對應:一對未知
序65 :B05358:鋗:鋗:無相關對應:一對未知
序66 :B05353:鋘:鋘:無相關對應:一對未知
序67 :B05325:鉼:鉼:無相關對應:一對未知
序68 :B05385:錍:錍:無相關對應:一對未知
序69 :B05384:錎:錎:無相關對應:一對未知
序70 :B05367:錞:錞:無相關對應:一對未知
序71 :B05377:錣:錣:無相關對應:一對未知
序72 :B05366:錧:錧:無相關對應:一對未知
序73 :B05383:錭:錭:無相關對應:一對未知
序74 :B05375:錼:錼:無相關對應:一對未知
序75 :B05438:鏨:錾:鏨:一對未知:G2-06079:鏨:錾:無異體
序77 :B05398:鍉:鍉:無相關對應:一對未知
序78 :B05406:鍌:鍌:無相關對應:一對未知
序79 :B05401:鍐:鍐:無相關對應:一對未知
序80 :B05402:鍑:鍑:無相關對應:一對未知
序81 :B05392:鍖:鍖:無相關對應:一對未知
序82 :B05396:鍜:鍜:無相關對應:一對未知
序83 :B05407:鍪:鍪:無相關對應:一對未知:G2-06309:無繁體:鍪:無異體
序85 :B05404:鍭:鍭:無相關對應:一對未知
序86 :B05389:鎃:鎃:無相關對應:一對未知
序87 :B05417:鎉:鎉:無相關對應:一對未知
序88 :B05419:鎎:鎎:無相關對應:一對未知
序89 :B05405:鎏:鎏:無相關對應:一對未知:G2-06362:無繁體:鎏:無異體
序91 :B05412:鎒:鎒:無相關對應:一對未知
序92 :B05416:鎝:鎝:無相關對應:一對未知
序93 :B05422:鎞:鎞:無相關對應:一對未知
序94 :B05390:鎯:鎯:無相關對應:一對未知
序95 :B05413:鎷:鎷:無相關對應:一對未知
序96 :B05428:鏂:鏂:無相關對應:一對未知
序97 :B05437:鏊:鏊:無相關對應:一對未知:G2-06310:無繁體:鏊:無異體
序99 :B05427:鏏:鏏:無相關對應:一對未知
序100 :A04343:鏖:鏖:佔格:一簡對一:G2-06409:無繁體:鏖:無異體
序102 :B05434:鏙:鏙:無相關對應:一對未知
序103 :B05436:鏦:鏦:無相關對應:一對未知
序104 :B05432:鏬:鏬:無相關對應:一對未知
序105 :B05441:鏻:鏻:無相關對應:一對未知
序106 :B05445:鏾:鏾:無相關對應:一對未知
序107 :B05452:鐀:鐀:無相關對應:一對未知
序108 :B05454:鐇:鐇:無相關對應:一對未知
序109 :B05450:鐍:鐍:無相關對應:一對未知
序110 :B05455:鐎:鐎:無相關對應:一對未知
序111 :B05443:鐏:鐏:無相關對應:一對未知
序112 :B05446:鐕:鐕:無相關對應:一對未知
序113 :B05456:鐖:鐖:無相關對應:一對未知
序114 ::::::G3-08063:無繁體:𨭉:無異體
序115 :B05458:鐻:鐻:無相關對應:一對未知
序116 ::::::G2-06461:無繁體:鐾:無異體
序117 :B05464:鑋:鑋:無相關對應:一對未知
序118 :B05462:鑐:鑐:無相關對應:一對未知
序119 :B05465:鑢:鑢:無相關對應:一對未知
序120 :B05468:鑫:鑫:無相關對應:一對未知:G2-06490:無繁體:鑫:無異體
序122 :B05469:鑮:鑮:無相關對應:一對未知
序123 :B05471:鑯:鑯:無相關對應:一對未知
序124 :B05474:鑴:鑴:無相關對應:一對未知
序125 :B05476:钀:钀:無相關對應:一對未知
序126 :B05475:钂:钂:無相關對應:一對未知
序127 :B05478:钃:钃:無相關對應:一對未知
序128 ::::::G3-06536:釓:钆:無異體
序129 :B05270:釔:钇:釔:一對未知:G2-03597:釔:钇:無異體
序131 :A04263:針:针:針:一簡對一:G1-00757:針:针:鍼
序132 :B05394:鍼:针:鍼:一對未知:G1-00757:針:针:鍼
序134 :A04262:釘:钉:釘:一簡對一:G1-00758:釘:钉:無異體
序136 :A04264:釗:钊:釗:一簡對一:G2-03721:釗:钊:無異體
序138 :B05272:釙:钋:釙:一對未知:G2-03722:釙:钋:無異體
序140 :B05271:釕:钌:釕:一對未知:G2-03723:釕:钌:無異體
